Customer,date,Consumption Category,Time,value
1,2010-12-25,GC,0:00,0.131
1,2010-12-24,GC,0:00,0.11
1,2010-12-22,GC,0:00,0.087
1,2010-12-10,GC,0:00,0.154
1,2010-12-21,GC,0:00,0.249
1,2010-12-20,GC,0:00,0.128
1,2011-03-03,GC,0:00,0.541
1,2010-07-25,GC,0:00,0.324
1,2010-12-17,GC,0:00,0.109
1,2010-12-16,GC,0:00,0.133
1,2010-12-15,GC,0:00,0.218
1,2010-12-14,GC,0:00,0.162
1,2010-07-09,GC,0:00,1.057
1,2010-12-13,GC,0:00,0.844
1,2010-12-12,GC,0:00,0.32
1,2010-08-08,GC,0:00,1.301
1,2010-09-11,GC,0:00,0.78
1,2010-08-12,GC,0:00,0.73
1,2010-12-30,GC,0:00,0.132
1,2010-11-13,GC,0:00,0.469
1,2010-09-14,GC,0:00,1.785
1,2010-12-11,GC,0:00,0.228
1,2011-02-03,GC,0:00,0.202
1,2010-07-10,GC,0:00,0.14
1,2010-11-24,GC,0:00,0.181
1,2010-12-29,GC,0:00,0.692
1,2010-12-18,GC,0:00,0.16
1,2010-12-19,GC,0:00,0.241
1,2010-12-28,GC,0:00,0.131
1,2010-11-23,GC,0:00,0.093
1,2010-11-22,GC,0:00,0.131
1,2010-11-21,GC,0:00,0.257
1,2010-11-20,GC,0:00,0.139
1,2010-11-19,GC,0:00,0.124
1,2010-11-18,GC,0:00,0.168
1,2010-11-17,GC,0:00,0.273
1,2010-11-16,GC,0:00,0.342
1,2010-11-15,GC,0:00,0.254
1,2010-11-14,GC,0:00,0.191
1,2010-11-12,GC,0:00,0.274
1,2010-08-07,GC,0:00,1.744
1,2010-08-09,GC,0:00,0.723
1,2010-08-06,GC,0:00,0.718
1,2011-01-07,GC,0:00,0.208
1,2010-07-21,GC,0:00,0.352
1,2010-07-20,GC,0:00,0.787
1,2010-07-19,GC,0:00,0.893
1,2010-07-18,GC,0:00,0.084
1,2010-07-17,GC,0:00,0.365
1,2010-08-13,GC,0:00,0.746
1,2010-08-14,GC,0:00,1.335
1,2010-08-15,GC,0:00,0.737
1,2010-08-29,GC,0:00,0.76
1,2010-09-10,GC,0:00,1.214
1,2010-09-09,GC,0:00,0.763
1,2010-09-08,GC,0:00,0.942
1,2010-09-07,GC,0:00,0.856
1,2010-09-06,GC,0:00,0.761
1,2010-09-05,GC,0:00,1.386
1,2010-09-04,GC,0:00,1.037
1,2010-09-03,GC,0:00,1.288
1,2010-09-02,GC,0:00,0.783
1,2010-09-01,GC,0:00,0.806
1,2011-01-11,GC,0:00,0.168
1,2011-01-15,GC,0:00,0.172
1,2010-08-05,GC,0:00,1.598
1,2010-08-04,GC,0:00,0.739
1,2010-08-03,GC,0:00,0.744
1,2010-08-02,GC,0:00,0.762
1,2010-08-01,GC,0:00,0.124
1,2010-07-31,GC,0:00,0.697
1,2010-07-30,GC,0:00,0.114
1,2010-07-29,GC,0:00,0.13
1,2010-07-28,GC,0:00,1.126
1,2010-07-27,GC,0:00,0.076
1,2010-07-26,GC,0:00,0.054
1,2010-07-24,GC,0:00,0.739
1,2010-07-23,GC,0:00,0.118
1,2010-07-22,GC,0:00,0.101
1,2010-08-31,GC,0:00,0.813
1,2010-08-30,GC,0:00,0.797
1,2010-08-16,GC,0:00,0.75
1,2011-01-30,GC,0:00,0.168
1,2011-01-29,GC,0:00,0.238
1,2011-01-19,GC,0:00,0.203
1,2011-01-17,GC,0:00,0.228
1,2011-01-09,GC,0:00,0.255
1,2011-01-13,GC,0:00,0.16
1,2010-08-28,GC,0:00,0.839
1,2011-01-28,GC,0:00,0.248
1,2011-01-26,GC,0:00,0.179
1,2011-01-25,GC,0:00,0.33
1,2011-01-24,GC,0:00,0.212
1,2011-01-23,GC,0:00,0.152
1,2011-01-22,GC,0:00,0.202
1,2011-01-21,GC,0:00,0.151
1,2011-01-20,GC,0:00,0.156
1,2010-12-31,GC,0:00,0.309
1,2011-01-18,GC,0:00,0.251
1,2011-01-01,GC,0:00,0.3
1,2011-01-16,GC,0:00,0.241
1,2011-01-02,GC,0:00,0.14
1,2011-01-14,GC,0:00,0.173
1,2011-01-03,GC,0:00,0.229
1,2011-01-12,GC,0:00,0.118
1,2011-01-04,GC,0:00,0.703
1,2011-01-10,GC,0:00,0.174
1,2010-12-23,GC,0:00,0.293
1,2011-01-08,GC,0:00,0.276
1,2011-01-27,GC,0:00,0.251
1,2011-02-11,GC,0:00,0.586
1,2011-02-10,GC,0:00,0.507
1,2010-11-26,GC,0:00,0.18
1,2010-07-14,GC,0:00,0.335
1,2010-08-27,GC,0:00,0.746
1,2010-08-26,GC,0:00,0.849
1,2010-08-25,GC,0:00,1.015
1,2010-08-24,GC,0:00,1.047
1,2010-08-23,GC,0:00,1.02
1,2010-08-22,GC,0:00,1.392
1,2010-08-21,GC,0:00,0.832
1,2010-08-20,GC,0:00,0.706
1,2010-08-19,GC,0:00,1.165
1,2010-08-18,GC,0:00,1.654
1,2010-08-17,GC,0:00,0.728
1,2010-11-08,GC,0:00,0.415
1,2010-11-09,GC,0:00,0.318
1,2010-11-10,GC,0:00,0.22
1,2010-11-11,GC,0:00,0.195
1,2011-02-01,GC,0:00,0.25
1,2010-07-07,GC,0:00,0.123
1,2011-01-31,GC,0:00,0.149
1,2011-04-21,GC,0:30,0.123
1,2011-02-15,GC,0:30,0.161
1,2011-02-14,GC,0:30,0.138
1,2011-02-13,GC,0:30,0.188
1,2011-02-12,GC,0:30,0.07
1,2011-03-14,GC,0:30,0.092
1,2011-02-11,GC,0:30,0.113
1,2011-03-15,GC,0:30,0.205
1,2010-12-01,GC,0:30,0.076
1,2011-05-12,GC,0:30,0.829
1,2011-03-16,GC,0:30,0.074
1,2011-02-08,GC,0:30,0.068
1,2011-02-07,GC,0:30,0.218
1,2010-12-02,GC,0:30,0.116
1,2011-02-06,GC,0:30,0.199
1,2011-04-20,GC,0:30,0.235
1,2011-02-04,GC,0:30,0.094
1,2010-12-04,GC,0:30,0.187
1,2011-02-03,GC,0:30,0.2
1,2010-12-27,GC,0:30,0.118
1,2011-01-11,GC,0:30,0.099
1,2011-03-30,GC,0:30,0.401
1,2010-11-10,GC,0:30,0.204
1,2011-01-10,GC,0:30,0.187
1,2010-11-22,GC,0:30,0.432
1,2011-01-09,GC,0:30,0.342
1,2011-04-27,GC,0:30,0.136
1,2011-03-31,GC,0:30,0.169
1,2010-11-19,GC,0:30,0.038
1,2011-04-01,GC,0:30,0.102
1,2010-11-18,GC,0:30,0.248
1,2011-01-08,GC,0:30,0.081
1,2010-11-16,GC,0:30,0.363
1,2011-01-07,GC,0:30,0.109
1,2010-11-15,GC,0:30,0.035
1,2011-04-02,GC,0:30,0.144
1,2011-04-30,GC,0:30,0.327
1,2011-04-03,GC,0:30,0.15
1,2010-11-12,GC,0:30,0.122
1,2011-01-05,GC,0:30,0.741
1,2010-11-11,GC,0:30,0.082
1,2011-01-04,GC,0:30,0.269
1,2011-02-02,GC,0:30,0.161
1,2011-03-04,GC,0:30,0.182
1,2011-03-19,GC,0:30,0.196
1,2010-11-21,GC,0:30,0.248
1,2010-11-20,GC,0:30,0.072
1,2011-04-28,GC,0:30,0.49
1,2010-11-17,GC,0:30,0.114
1,2011-04-29,GC,0:30,0.953
1,2010-11-14,GC,0:30,0.069
1,2010-11-13,GC,0:30,0.179
1,2011-05-01,GC,0:30,0.198
1,2011-05-02,GC,0:30,0.079
1,2011-04-08,GC,0:30,0.23
1,2011-01-03,GC,0:30,0.12
1,2011-03-11,GC,0:30,0.104
1,2011-02-19,GC,0:30,0.14
1,2011-02-18,GC,0:30,0.119
1,2011-03-12,GC,0:30,0.086
1,2011-01-31,GC,0:30,0.146
1,2011-03-21,GC,0:30,0.122
1,2011-04-07,GC,0:30,0.46
1,2011-01-13,GC,0:30,0.165
